Route No.,Bus No.,From,To,Distance (km)
RT125,PB-10-2756,Patiala,Bathinda,164.4
RT580,PB-25-1755,Hoshiarpur,Patiala,175.3
RT672,PB-17-9380,Ludhiana,Bathinda,142.1
RT293,PB-86-3039,Mohali,Bathinda,231.7
RT782,PB-12-6921,Bathinda,Ferozepur,100.5
RT512,PB-85-8556,Ferozepur,Ludhiana,137.2
RT487,PB-29-5733,Mohali,Kapurthala,191.4
RT638,PB-35-7491,Jalandhar,Ludhiana,64.3
RT572,PB-93-7599,Ferozepur,Chandigarh,244.9
RT692,PB-19-2176,Pathankot,Mohali,256.8
RT160,PB-49-8834,Ropar,Jalandhar,120.1
RT861,PB-43-7122,Ferozepur,Patiala,231.3
RT132,PB-97-6247,Bathinda,Mohali,214.8
RT239,PB-44-3626,Hoshiarpur,Amritsar,119.3
RT490,PB-25-7523,Patiala,Moga,152.3
RT944,PB-99-7592,Kapurthala,Bathinda,161.5
RT965,PB-75-6736,Amritsar,Kapurthala,64.3
RT260,PB-41-8567,Moga,Kapurthala,77.1
RT926,PB-30-8017,Ropar,Pathankot,208.6
RT446,PB-90-3808,Bathinda,Amritsar,195.2
RT132,PB-24-3269,Chandigarh,Pathankot,234.4
RT347,PB-76-1586,Ropar,Ferozepur,231.5
RT959,PB-35-3054,Ludhiana,Pathankot,193.0
RT106,PB-11-7184,Pathankot,Amritsar,130.9
RT860,PB-99-2243,Mohali,Ferozepur,233.0
RT352,PB-97-2244,Moga,Patiala,159.8
RT419,PB-26-4312,Ferozepur,Patiala,233.5
RT715,PB-34-9460,Pathankot,Ludhiana,195.4
RT567,PB-32-8828,Pathankot,Amritsar,132.5
RT309,PB-12-7784,Jalandhar,Hoshiarpur,47.4
RT627,PB-79-4064,Hoshiarpur,Ropar,109.0
RT398,PB-46-4862,Kapurthala,Moga,77.9
RT974,PB-29-3920,Amritsar,Ropar,205.9
RT229,PB-97-8574,Mohali,Ropar,42.7
RT178,PB-74-8304,Patiala,Hoshiarpur,175.5
RT894,PB-35-3173,Ropar,Amritsar,211.6
RT421,PB-43-4695,Jalandhar,Moga,89.2
RT428,PB-79-4245,Moga,Mohali,171.0
RT964,PB-36-9071,Jalandhar,Hoshiarpur,47.8
RT649,PB-21-2452,Mohali,Pathankot,240.6
RT856,PB-42-3848,Mohali,Chandigarh,7.9
RT793,PB-38-9265,Bathinda,Patiala,161.4
RT459,PB-78-5792,Mohali,Chandigarh,8.2
RT881,PB-70-9410,Pathankot,Hoshiarpur,103.5
RT338,PB-27-6626,Ludhiana,Chandigarh,110.2
RT785,PB-94-6017,Ferozepur,Kapurthala,111.1
RT159,PB-65-1981,Patiala,Bathinda,166.6
RT181,PB-27-6047,Amritsar,Ferozepur,102.1
RT755,PB-16-5169,Jalandhar,Hoshiarpur,48.1
RT928,PB-31-8367,Patiala,Bathinda,163.7
RT499,PB-36-1459,Pathankot,Jalandhar,123.6
RT447,PB-60-4104,Chandigarh,Hoshiarpur,150.1
RT296,PB-74-1479,Mohali,Kapurthala,177.0
RT291,PB-64-3618,Moga,Kapurthala,81.9
RT389,PB-67-2887,Patiala,Ferozepur,221.0
RT205,PB-61-6124,Ferozepur,Moga,62.9
RT703,PB-86-7762,Moga,Amritsar,118.8
RT377,PB-44-2482,Amritsar,Patiala,259.9
RT522,PB-36-5732,Ludhiana,Mohali,98.5
RT566,PB-72-9388,Moga,Bathinda,87.2
RT832,PB-25-6347,Chandigarh,Jalandhar,152.7
RT395,PB-10-1975,Jalandhar,Patiala,161.8
RT937,PB-65-8782,Mohali,Moga,173.0
RT604,PB-37-6007,Patiala,Ludhiana,100.4
RT901,PB-34-6526,Hoshiarpur,Pathankot,109.4
RT964,PB-55-6000,Ludhiana,Hoshiarpur,83.3
RT473,PB-17-4446,Pathankot,Bathinda,287.1
RT545,PB-58-9712,Ludhiana,Moga,78.3
RT793,PB-28-5864,Bathinda,Pathankot,293.2
RT822,PB-15-3322,Amritsar,Pathankot,132.8
RT247,PB-51-1388,Hoshiarpur,Amritsar,120.9
RT665,PB-52-4521,Ferozepur,Moga,64.1
RT886,PB-59-6984,Patiala,Kapurthala,184.1
RT968,PB-57-7731,Patiala,Amritsar,264.2
RT518,PB-74-3256,Hoshiarpur,Ludhiana,89.3
RT823,PB-31-7244,Mohali,Kapurthala,184.8
RT329,PB-61-9841,Jalandhar,Amritsar,87.7
RT534,PB-19-2982,Chandigarh,Ferozepur,242.8
RT621,PB-20-1151,Chandigarh,Ferozepur,252.8
RT224,PB-31-8875,Chandigarh,Bathinda,227.1
RT540,PB-75-9714,Bathinda,Amritsar,194.2
RT750,PB-12-9924,Pathankot,Patiala,276.5
RT501,PB-96-3916,Ferozepur,Ludhiana,138.1
RT691,PB-52-8023,Jalandhar,Ferozepur,120.1
RT755,PB-29-9652,Patiala,Moga,155.4
RT501,PB-56-9487,Pathankot,Bathinda,305.6
RT427,PB-98-7313,Amritsar,Moga,116.0
RT197,PB-56-3087,Pathankot,Ropar,210.6
RT794,PB-58-6658,Moga,Kapurthala,85.5
RT359,PB-19-5986,Kapurthala,Pathankot,129.0
RT178,PB-87-3347,Jalandhar,Amritsar,91.8
RT206,PB-62-3221,Patiala,Jalandhar,173.4
RT383,PB-43-5886,Ropar,Hoshiarpur,99.1
RT318,PB-72-4676,Mohali,Ludhiana,105.3
RT763,PB-64-5506,Ludhiana,Ropar,81.5
RT323,PB-79-9536,Kapurthala,Hoshiarpur,61.7
RT906,PB-57-8239,Patiala,Ludhiana,99.8
RT906,PB-78-8981,Kapurthala,Chandigarh,183.8
RT633,PB-51-7480,Bathinda,Ludhiana,144.2
RT867,PB-43-3796,Hoshiarpur,Kapurthala,64.6
RT771,PB-25-1786,Mohali,Jalandhar,151.7
RT490,PB-22-6550,Hoshiarpur,Kapurthala,65.6
RT300,PB-58-7028,Kapurthala,Jalandhar,23.2
RT803,PB-58-4340,Mohali,Jalandhar,163.9
RT737,PB-32-6593,Pathankot,Ferozepur,220.9
RT188,PB-17-2043,Pathankot,Kapurthala,128.6
RT390,PB-14-1621,Ropar,Ludhiana,75.9
RT754,PB-22-9067,Patiala,Moga,157.0
RT232,PB-97-7147,Hoshiarpur,Ferozepur,171.7
RT746,PB-49-2843,Chandigarh,Patiala,67.6
RT730,PB-54-8970,Ludhiana,Patiala,100.2
RT586,PB-58-4634,Ludhiana,Chandigarh,107.6
RT259,PB-16-4576,Amritsar,Mohali,263.7
RT942,PB-30-2862,Patiala,Chandigarh,74.8
RT598,PB-35-1484,Ropar,Chandigarh,41.3
RT745,PB-75-4518,Chandigarh,Ludhiana,114.7
RT618,PB-45-4050,Hoshiarpur,Ropar,110.0
RT689,PB-64-7618,Chandigarh,Patiala,70.2
RT305,PB-17-2305,Ludhiana,Moga,81.4
RT281,PB-19-8482,Patiala,Kapurthala,178.2
RT630,PB-86-6496,Ferozepur,Pathankot,208.5
RT137,PB-55-5343,Jalandhar,Ferozepur,123.6
RT894,PB-49-7677,Jalandhar,Ludhiana,64.1
RT570,PB-66-1468,Moga,Patiala,148.3
RT450,PB-49-3495,Kapurthala,Bathinda,159.9
RT417,PB-28-2057,Hoshiarpur,Chandigarh,153.2
RT760,PB-46-1434,Chandigarh,Ferozepur,264.1
RT398,PB-21-8599,Pathankot,Jalandhar,132.3
RT373,PB-42-6453,Pathankot,Ferozepur,220.8
RT854,PB-13-1675,Ferozepur,Amritsar,99.1
RT438,PB-28-6852,Chandigarh,Ludhiana,109.9
RT666,PB-25-9477,Ropar,Bathinda,222.6
RT742,PB-78-6612,Moga,Amritsar,111.0
RT179,PB-40-5491,Chandigarh,Kapurthala,195.2
RT655,PB-49-5767,Ludhiana,Jalandhar,64.8
RT790,PB-52-1185,Ferozepur,Ropar,234.9
RT252,PB-65-3294,Amritsar,Ludhiana,150.1
RT848,PB-59-1859,Moga,Ropar,169.2
RT428,PB-31-7801,Jalandhar,Kapurthala,23.9
RT885,PB-59-2823,Patiala,Moga,158.0
RT701,PB-46-1064,Mohali,Hoshiarpur,150.0
RT407,PB-48-7139,Chandigarh,Jalandhar,166.3
RT697,PB-91-5930,Moga,Patiala,153.1
RT628,PB-12-3452,Jalandhar,Amritsar,87.6
RT274,PB-29-8775,Kapurthala,Mohali,173.0
RT713,PB-62-6751,Patiala,Bathinda,165.7
RT359,PB-89-3735,Bathinda,Amritsar,201.9
RT149,PB-76-9656,Jalandhar,Moga,83.0
RT668,PB-55-4429,Patiala,Bathinda,174.8
RT951,PB-77-3293,Pathankot,Ludhiana,180.9
RT701,PB-55-3694,Mohali,Ludhiana,101.3
RT695,PB-44-2540,Ropar,Hoshiarpur,103.1
RT546,PB-67-8918,Pathankot,Jalandhar,125.7
RT914,PB-31-5489,Bathinda,Ferozepur,104.2
RT521,PB-15-4959,Pathankot,Patiala,284.3
RT313,PB-60-8930,Patiala,Amritsar,245.4
RT965,PB-95-4734,Mohali,Bathinda,215.8
RT609,PB-93-6628,Kapurthala,Moga,75.9
RT848,PB-41-4645,Ferozepur,Patiala,210.4
RT346,PB-90-1357,Ferozepur,Hoshiarpur,168.5
RT441,PB-33-4411,Pathankot,Bathinda,286.2
RT134,PB-39-1020,Jalandhar,Bathinda,172.7
RT232,PB-29-8681,Jalandhar,Chandigarh,159.9
RT621,PB-85-2370,Bathinda,Moga,91.4
RT778,PB-14-6364,Amritsar,Ferozepur,96.9
RT485,PB-34-9272,Amritsar,Kapurthala,71.0
RT491,PB-93-6924,Amritsar,Pathankot,117.8
RT879,PB-97-5290,Ferozepur,Ludhiana,140.8
RT479,PB-18-9317,Bathinda,Mohali,225.3
RT348,PB-42-7220,Pathankot,Jalandhar,134.9
RT413,PB-64-2869,Hoshiarpur,Amritsar,115.9
RT705,PB-14-2162,Hoshiarpur,Chandigarh,151.6
RT274,PB-64-9849,Amritsar,Jalandhar,91.5
RT964,PB-72-8351,Patiala,Pathankot,273.7
RT132,PB-66-3079,Ludhiana,Patiala,102.8
RT119,PB-54-1205,Hoshiarpur,Moga,130.5
RT446,PB-27-9359,Ludhiana,Mohali,106.5
RT789,PB-82-6676,Moga,Mohali,170.8
RT618,PB-41-1717,Bathinda,Ferozepur,101.7
RT572,PB-26-5607,Moga,Amritsar,121.6
RT871,PB-58-8659,Bathinda,Hoshiarpur,222.7
RT855,PB-20-2643,Pathankot,Hoshiarpur,108.0
RT969,PB-30-6237,Patiala,Ropar,87.6
RT658,PB-72-2498,Hoshiarpur,Moga,130.3
RT419,PB-79-1140,Ludhiana,Jalandhar,70.6
RT189,PB-82-2314,Jalandhar,Pathankot,122.0
RT661,PB-65-4032,Moga,Bathinda,89.2
RT145,PB-12-5132,Kapurthala,Pathankot,129.6
RT700,PB-64-3808,Jalandhar,Ropar,127.4
RT784,PB-25-9078,Ropar,Patiala,90.5
RT947,PB-55-2492,Patiala,Mohali,65.3
RT715,PB-40-1487,Bathinda,Mohali,207.6
RT253,PB-64-4328,Hoshiarpur,Kapurthala,63.2
RT316,PB-51-5839,Kapurthala,Moga,77.1
RT487,PB-11-3892,Jalandhar,Kapurthala,22.5
RT249,PB-37-4138,Patiala,Ropar,88.3
RT216,PB-29-6688,Kapurthala,Amritsar,70.9
RT772,PB-93-8533,Bathinda,Chandigarh,238.2
RT390,PB-14-1727,Kapurthala,Ropar,149.7
RT234,PB-58-2441,Bathinda,Chandigarh,219.9
RT175,PB-79-2257,Bathinda,Pathankot,301.0
RT633,PB-47-4781,Ropar,Ludhiana,78.9
RT958,PB-49-4556,Amritsar,Patiala,257.6
RT479,PB-26-2525,Jalandhar,Ferozepur,129.3
RT186,PB-64-9238,Kapurthala,Jalandhar,22.5
RT902,PB-14-6197,Jalandhar,Pathankot,123.0
RT464,PB-70-5211,Hoshiarpur,Ludhiana,90.9
RT294,PB-68-6139,Chandigarh,Ropar,41.3
RT291,PB-99-3846,Amritsar,Hoshiarpur,124.2
RT903,PB-23-5232,Mohali,Ropar,40.9
RT867,PB-63-5468,Bathinda,Hoshiarpur,219.2
RT969,PB-64-1899,Ropar,Amritsar,203.2
RT900,PB-80-4948,Ludhiana,Ferozepur,138.2
RT769,PB-94-5516,Ludhiana,Ropar,81.9
RT170,PB-56-5253,Bathinda,Amritsar,185.4
RT627,PB-71-8592,Mohali,Ropar,42.5
RT553,PB-54-9985,Ferozepur,Moga,70.9
RT615,PB-31-2189,Hoshiarpur,Kapurthala,68.0
RT746,PB-72-1399,Ludhiana,Ferozepur,150.1
RT319,PB-86-1151,Bathinda,Ropar,199.3
RT155,PB-98-4911,Mohali,Moga,173.9
RT140,PB-31-7076,Amritsar,Ferozepur,105.6
RT614,PB-51-2038,Amritsar,Ludhiana,160.7
RT706,PB-84-3431,Hoshiarpur,Mohali,153.2
RT910,PB-31-9528,Bathinda,Mohali,220.4
RT345,PB-58-9448,Jalandhar,Ferozepur,117.3
RT992,PB-14-5578,Hoshiarpur,Ludhiana,85.9
RT428,PB-58-2015,Ferozepur,Hoshiarpur,170.1
RT479,PB-34-7865,Ferozepur,Hoshiarpur,173.6
RT644,PB-77-3843,Pathankot,Kapurthala,130.2
RT423,PB-88-8192,Ropar,Hoshiarpur,104.8
RT155,PB-61-9126,Mohali,Kapurthala,173.6
RT745,PB-90-3341,Ferozepur,Kapurthala,113.6
RT600,PB-35-1172,Pathankot,Hoshiarpur,110.9
RT989,PB-13-8931,Chandigarh,Jalandhar,154.4
RT829,PB-25-4818,Pathankot,Patiala,285.0
RT758,PB-20-4863,Moga,Kapurthala,76.2
RT815,PB-96-1142,Bathinda,Mohali,229.5
RT381,PB-95-1509,Ferozepur,Mohali,241.2
RT830,PB-33-4889,Bathinda,Ferozepur,100.6
RT143,PB-63-6132,Mohali,Hoshiarpur,140.0
RT529,PB-81-8621,Bathinda,Moga,82.8
RT845,PB-17-2717,Jalandhar,Kapurthala,24.9
RT992,PB-98-4444,Mohali,Patiala,63.6
RT934,PB-50-2425,Ludhiana,Jalandhar,66.9
RT428,PB-55-1636,Moga,Ludhiana,84.1
RT678,PB-65-5924,Kapurthala,Ferozepur,112.1
RT621,PB-58-7014,Ludhiana,Hoshiarpur,90.6
RT485,PB-55-8623,Bathinda,Ropar,224.8
RT737,PB-81-9207,Amritsar,Patiala,246.6
RT703,PB-35-8038,Ludhiana,Jalandhar,68.3
RT415,PB-72-4611,Mohali,Kapurthala,172.2
RT330,PB-17-6934,Jalandhar,Chandigarh,152.1
RT352,PB-91-9293,Patiala,Mohali,63.8
RT887,PB-45-2753,Bathinda,Ludhiana,135.7
RT133,PB-88-1884,Jalandhar,Ludhiana,66.8
RT101,PB-35-3865,Bathinda,Ferozepur,101.7
RT464,PB-71-5146,Patiala,Chandigarh,69.5
RT822,PB-66-8943,Ludhiana,Bathinda,140.4
RT264,PB-10-1600,Jalandhar,Hoshiarpur,48.4
RT518,PB-79-9030,Hoshiarpur,Ferozepur,176.4
RT767,PB-16-7596,Mohali,Pathankot,251.8
RT350,PB-59-5894,Jalandhar,Pathankot,125.0
RT195,PB-14-3451,Hoshiarpur,Ferozepur,175.9
RT482,PB-86-1618,Ropar,Patiala,87.6
RT918,PB-96-4169,Hoshiarpur,Bathinda,220.2
RT617,PB-89-8510,Chandigarh,Ludhiana,114.2
RT978,PB-27-8958,Mohali,Chandigarh,8.1
RT180,PB-89-3421,Kapurthala,Mohali,172.8
RT139,PB-71-4860,Chandigarh,Bathinda,236.9
RT354,PB-18-7559,Mohali,Bathinda,229.9
RT424,PB-50-7857,Bathinda,Moga,84.6
RT462,PB-97-4234,Hoshiarpur,Mohali,155.4
RT945,PB-67-5647,Mohali,Jalandhar,151.5
RT941,PB-88-1947,Pathankot,Bathinda,304.9
RT582,PB-94-4976,Patiala,Jalandhar,169.7
RT567,PB-40-1565,Moga,Patiala,156.9
RT756,PB-11-1869,Ludhiana,Mohali,108.4
RT357,PB-14-2526,Pathankot,Ropar,208.8
RT133,PB-87-6852,Pathankot,Ludhiana,191.6
RT640,PB-65-3206,Ropar,Moga,150.7
RT983,PB-81-7670,Amritsar,Moga,119.4
RT894,PB-97-2083,Amritsar,Jalandhar,88.4
RT879,PB-35-6129,Pathankot,Ropar,196.2
RT800,PB-95-5123,Kapurthala,Jalandhar,24.9
RT874,PB-57-5672,Kapurthala,Chandigarh,175.9
RT551,PB-34-1917,Pathankot,Ludhiana,186.1
RT322,PB-88-5511,Kapurthala,Ropar,142.2
RT662,PB-89-4497,Moga,Ludhiana,78.3
RT670,PB-95-2909,Moga,Mohali,187.8
RT389,PB-74-2589,Ropar,Mohali,40.5
RT785,PB-99-1668,Amritsar,Moga,110.2
RT181,PB-89-2055,Ferozepur,Moga,63.1
RT134,PB-93-9056,Bathinda,Kapurthala,174.4
RT459,PB-62-1980,Amritsar,Bathinda,192.5
RT184,PB-57-8378,Amritsar,Kapurthala,65.6
RT891,PB-80-9679,Ropar,Mohali,40.0
RT514,PB-22-9331,Patiala,Ferozepur,221.0
RT278,PB-50-4111,Mohali,Hoshiarpur,140.7
RT739,PB-31-8845,Amritsar,Pathankot,131.8
RT857,PB-84-9421,Kapurthala,Pathankot,124.7
RT432,PB-33-1411,Ropar,Mohali,44.7
RT564,PB-53-7371,Ferozepur,Bathinda,100.9
RT105,PB-38-6984,Pathankot,Ferozepur,230.0
RT101,PB-43-4139,Moga,Kapurthala,80.5
RT115,PB-72-9895,Amritsar,Pathankot,124.5
RT487,PB-66-4216,Kapurthala,Ludhiana,87.1
RT313,PB-14-2496,Bathinda,Chandigarh,224.3
RT697,PB-83-3006,Moga,Pathankot,218.1
RT691,PB-25-8453,Jalandhar,Moga,85.3
RT941,PB-61-5135,Ropar,Patiala,85.1
RT580,PB-97-4826,Kapurthala,Mohali,188.3
RT399,PB-30-1551,Ferozepur,Ropar,216.2
RT896,PB-88-2196,Mohali,Chandigarh,8.7
RT187,PB-31-8941,Chandigarh,Ropar,42.3
RT665,PB-95-1484,Ludhiana,Ferozepur,145.9
RT524,PB-88-7901,Ferozepur,Chandigarh,253.9
RT294,PB-17-9855,Ludhiana,Moga,81.1
RT385,PB-83-3586,Ludhiana,Ferozepur,151.7
RT891,PB-70-3255,Hoshiarpur,Bathinda,203.2
RT163,PB-68-1414,Chandigarh,Jalandhar,154.3
RT375,PB-89-4650,Amritsar,Ferozepur,101.6
RT186,PB-33-2945,Patiala,Pathankot,260.3
RT606,PB-11-9885,Kapurthala,Chandigarh,190.9
RT263,PB-40-6541,Kapurthala,Hoshiarpur,62.3
RT943,PB-41-2028,Ropar,Patiala,82.3
RT247,PB-90-8229,Kapurthala,Chandigarh,178.3
RT746,PB-80-9299,Kapurthala,Ludhiana,88.6
RT586,PB-66-1678,Patiala,Pathankot,262.7
RT853,PB-50-3654,Bathinda,Amritsar,190.6
RT853,PB-58-5682,Jalandhar,Ludhiana,64.2
RT118,PB-57-9333,Jalandhar,Patiala,173.6
RT843,PB-36-9062,Patiala,Bathinda,179.9
RT617,PB-58-4576,Ludhiana,Chandigarh,105.2
RT295,PB-35-8000,Pathankot,Ludhiana,196.0
RT338,PB-99-4536,Jalandhar,Pathankot,132.0
RT821,PB-44-1859,Amritsar,Kapurthala,71.6
RT844,PB-46-5395,Pathankot,Hoshiarpur,102.6
RT513,PB-45-3246,Ropar,Pathankot,201.8
RT163,PB-56-9291,Amritsar,Bathinda,204.4
RT647,PB-72-3879,Moga,Chandigarh,199.3
RT949,PB-52-4785,Ropar,Bathinda,214.6
RT187,PB-49-5675,Kapurthala,Chandigarh,184.1
RT861,PB-74-3464,Ropar,Chandigarh,43.7
RT736,PB-34-3182,Patiala,Chandigarh,67.4
RT264,PB-48-8023,Hoshiarpur,Pathankot,103.0
RT723,PB-24-3431,Ropar,Pathankot,200.2
RT307,PB-40-8088,Kapurthala,Ferozepur,114.6
RT395,PB-23-5089,Ludhiana,Mohali,106.6
RT599,PB-35-4313,Patiala,Mohali,61.8
RT308,PB-45-3067,Ropar,Ludhiana,81.8
RT878,PB-55-5801,Ferozepur,Kapurthala,112.2
RT715,PB-94-3817,Chandigarh,Patiala,69.5
RT712,PB-55-8479,Patiala,Ferozepur,217.8
RT673,PB-24-5137,Mohali,Ropar,40.6
RT919,PB-36-8861,Ferozepur,Bathinda,99.6
RT355,PB-59-9153,Ropar,Bathinda,217.7
RT411,PB-16-7442,Amritsar,Bathinda,203.6
RT682,PB-65-1532,Mohali,Pathankot,242.9
RT744,PB-99-2087,Jalandhar,Ludhiana,62.7
RT634,PB-85-6847,Kapurthala,Moga,82.1
RT801,PB-75-8731,Pathankot,Jalandhar,125.9
RT162,PB-81-8474,Hoshiarpur,Patiala,180.4
RT233,PB-70-5045,Jalandhar,Moga,84.0
RT704,PB-52-9312,Patiala,Hoshiarpur,169.6
RT902,PB-65-4835,Amritsar,Ludhiana,143.9
RT387,PB-46-5175,Chandigarh,Bathinda,235.5
RT802,PB-97-8369,Kapurthala,Patiala,184.2
RT349,PB-76-4766,Ropar,Jalandhar,120.3
RT413,PB-16-2128,Hoshiarpur,Bathinda,205.6
RT287,PB-56-5737,Pathankot,Bathinda,283.5
RT205,PB-77-2364,Amritsar,Hoshiarpur,118.6
RT726,PB-99-7464,Pathankot,Amritsar,128.5
RT290,PB-34-3714,Ferozepur,Hoshiarpur,177.4
RT118,PB-72-8746,Mohali,Ferozepur,259.8
RT589,PB-50-6187,Hoshiarpur,Moga,127.2
RT586,PB-10-9524,Moga,Chandigarh,192.7
RT872,PB-67-9075,Bathinda,Jalandhar,161.1
RT618,PB-89-8269,Kapurthala,Hoshiarpur,63.8
RT403,PB-85-7347,Hoshiarpur,Bathinda,222.8
RT882,PB-13-7922,Patiala,Bathinda,164.0
RT539,PB-18-5423,Kapurthala,Chandigarh,193.9
RT861,PB-86-8206,Mohali,Jalandhar,166.9
RT999,PB-44-8585,Patiala,Moga,166.4
RT869,PB-12-4260,Ferozepur,Ropar,234.9
RT861,PB-11-9656,Ferozepur,Moga,69.1
RT398,PB-89-9914,Amritsar,Mohali,240.7
RT628,PB-74-9557,Chandigarh,Amritsar,247.7
RT278,PB-73-7442,Ferozepur,Bathinda,101.4
RT707,PB-97-1493,Bathinda,Hoshiarpur,217.3
RT750,PB-10-4306,Pathankot,Kapurthala,119.0
RT459,PB-46-9103,Mohali,Hoshiarpur,148.4
RT402,PB-85-4533,Patiala,Ferozepur,216.0
RT105,PB-16-9099,Mohali,Amritsar,252.0
RT195,PB-30-9685,Pathankot,Hoshiarpur,100.5
RT785,PB-81-3605,Patiala,Ferozepur,225.7
RT315,PB-18-2739,Bathinda,Ferozepur,104.1
RT461,PB-33-6593,Bathinda,Ludhiana,138.3
RT590,PB-61-9407,Jalandhar,Patiala,165.5
RT717,PB-39-2611,Ropar,Ludhiana,82.4
RT555,PB-74-5488,Ropar,Pathankot,203.6
RT486,PB-36-3759,Amritsar,Patiala,247.3
RT455,PB-31-7844,Chandigarh,Pathankot,257.1
RT555,PB-98-9060,Ropar,Hoshiarpur,98.5
RT189,PB-30-3415,Ferozepur,Bathinda,102.7
RT966,PB-86-8397,Ropar,Hoshiarpur,108.6
RT207,PB-77-1307,Hoshiarpur,Bathinda,213.8
RT799,PB-70-8983,Ludhiana,Ferozepur,149.9
RT941,PB-57-9326,Ropar,Hoshiarpur,103.8
RT997,PB-92-6417,Moga,Bathinda,82.3
RT744,PB-29-9205,Mohali,Pathankot,243.3
RT179,PB-24-6064,Kapurthala,Patiala,193.9
RT839,PB-22-3728,Hoshiarpur,Bathinda,210.7
RT861,PB-96-5724,Moga,Jalandhar,83.2
RT732,PB-15-8130,Amritsar,Jalandhar,97.3
RT726,PB-59-2779,Moga,Kapurthala,77.5
RT746,PB-81-3031,Ropar,Patiala,85.5
RT644,PB-55-5925,Ropar,Jalandhar,127.5
RT587,PB-56-6476,Pathankot,Amritsar,126.2
RT777,PB-18-1272,Ropar,Ludhiana,75.6
RT203,PB-62-9610,Amritsar,Pathankot,123.1
RT996,PB-79-7608,Moga,Mohali,192.9
RT520,PB-40-9078,Ludhiana,Hoshiarpur,86.5
RT179,PB-87-7722,Hoshiarpur,Ferozepur,176.0
RT871,PB-32-6369,Pathankot,Ludhiana,191.2
RT762,PB-84-8456,Hoshiarpur,Amritsar,128.1
RT459,PB-49-9027,Ropar,Chandigarh,46.0
RT533,PB-36-5030,Jalandhar,Pathankot,134.1
RT341,PB-62-7956,Ropar,Kapurthala,143.6
RT461,PB-76-4421,Amritsar,Jalandhar,89.2
RT116,PB-77-8854,Ludhiana,Chandigarh,107.1
RT305,PB-98-5468,Ropar,Chandigarh,45.7
RT867,PB-41-1945,Jalandhar,Patiala,154.9
RT973,PB-42-8449,Pathankot,Bathinda,299.4
RT532,PB-85-9694,Jalandhar,Bathinda,173.8
RT857,PB-47-8058,Hoshiarpur,Moga,135.4
RT307,PB-87-4779,Chandigarh,Ludhiana,107.2
RT200,PB-92-7850,Mohali,Moga,192.0
RT326,PB-27-8386,Ropar,Kapurthala,137.6
RT163,PB-38-8832,Kapurthala,Chandigarh,189.7
RT950,PB-80-1709,Pathankot,Jalandhar,123.5
RT298,PB-31-4496,Ropar,Kapurthala,143.1
RT202,PB-49-4086,Bathinda,Hoshiarpur,214.3
RT517,PB-42-8038,Jalandhar,Hoshiarpur,48.9
RT830,PB-88-1998,Kapurthala,Ferozepur,110.7
RT840,PB-98-5472,Pathankot,Kapurthala,131.5
RT686,PB-91-7887,Kapurthala,Ferozepur,106.2
RT671,PB-30-3344,Jalandhar,Hoshiarpur,47.5
RT917,PB-70-2923,Jalandhar,Mohali,166.4
RT205,PB-65-7113,Kapurthala,Bathinda,172.9
RT620,PB-44-1978,Kapurthala,Jalandhar,24.4
RT740,PB-16-9581,Mohali,Chandigarh,8.1
RT843,PB-80-4501,Ludhiana,Jalandhar,67.3
RT246,PB-79-5031,Ferozepur,Hoshiarpur,167.2
RT786,PB-70-4441,Mohali,Pathankot,249.6
RT403,PB-11-6009,Amritsar,Patiala,264.2
RT505,PB-18-4188,Ropar,Patiala,87.2
RT203,PB-56-8586,Ludhiana,Hoshiarpur,88.1
RT506,PB-14-2162,Amritsar,Patiala,242.5
RT279,PB-47-3022,Kapurthala,Ferozepur,110.8
RT159,PB-87-2510,Ludhiana,Chandigarh,111.5
RT282,PB-89-5649,Ferozepur,Chandigarh,269.7
RT266,PB-60-2040,Ropar,Bathinda,204.1
RT522,PB-81-7580,Hoshiarpur,Jalandhar,46.0
RT662,PB-76-5023,Jalandhar,Hoshiarpur,49.3
RT233,PB-34-6300,Bathinda,Mohali,228.3
RT481,PB-14-4335,Ferozepur,Ropar,224.1
RT486,PB-99-6905,Chandigarh,Ferozepur,250.8
RT343,PB-99-7169,Mohali,Kapurthala,171.0
RT477,PB-77-8629,Ludhiana,Hoshiarpur,90.1
RT591,PB-97-1223,Ludhiana,Patiala,99.8
RT143,PB-87-3024,Pathankot,Bathinda,278.9
RT296,PB-72-2883,Pathankot,Kapurthala,129.6
RT252,PB-26-4276,Ferozepur,Ludhiana,138.8
RT243,PB-11-3957,Mohali,Jalandhar,156.9
RT427,PB-39-1464,Moga,Amritsar,117.1
RT584,PB-65-4646,Bathinda,Ferozepur,106.8
RT695,PB-39-9255,Moga,Hoshiarpur,127.7
RT866,PB-43-3437,Amritsar,Pathankot,119.3
RT712,PB-84-4459,Chandigarh,Hoshiarpur,149.1
RT953,PB-22-7564,Pathankot,Ferozepur,216.8
RT937,PB-65-5841,Mohali,Patiala,60.7
RT141,PB-99-7370,Hoshiarpur,Ferozepur,175.9
RT459,PB-15-2817,Chandigarh,Ropar,44.0
RT946,PB-41-9679,Ludhiana,Mohali,101.4
RT123,PB-79-2283,Chandigarh,Bathinda,220.1
RT368,PB-73-9986,Mohali,Ferozepur,251.8
RT835,PB-11-1164,Ropar,Amritsar,199.9
RT462,PB-46-7642,Hoshiarpur,Ferozepur,180.9
